序号,开课单位,课程名称,课程时长,课程负载,内容类型,课程分类,参加人数,课程链接
787,中国药科大学,工业药剂学,17周,3,视频,,687,http://www.icourse163.org/course/CPU-1001760015
788,中国药科大学,药物分析,16周,2,视频 文档 随堂测验,生命科学,7705,http://www.icourse163.org/course/CPU-1001626011
789,中国药科大学,药物化学,17周,2-3小时每周,视频 文档 随堂测验,生命科学,6408,http://www.icourse163.org/course/CPU-1001570004
790,中国药科大学,中药与美容,6周,2-3小时每周,视频 文档 富文本 讨论,生命科学,16372,http://www.icourse163.org/course/CPU-1001573003
791,中国人民解放军陆军工程大学,制冷除湿技术入门,8周,2-3小时每周,视频 文档 随堂测验 讨论,,644,http://www.icourse163.org/course/PAEU-1001809008
792,中国人民解放军陆军工程大学,运筹学,8周,5小时,视频 文档 随堂测验 富文本 讨论,经济管理,14124,http://www.icourse163.org/course/PAEU-1001694005
793,中国人民解放军陆军工程大学,数据结构,10周,4小时每周,视频 文档 随堂测验 讨论,计算机,15633,http://www.icourse163.org/course/PAEU-1001660013
794,中国人民解放军陆军工程大学,网络技术与应用,12周,3小时每周,视频 文档 随堂测验 富文本 讨论,计算机,7799,http://www.icourse163.org/course/PAEU-315001
795,南京师范大学,遥感数字图像处理,待定周,待定,视频 文档 随堂测验 富文本 讨论,,1733,http://www.icourse163.org/course/NJNU-1001754080
796,南京师范大学,先秦诸子精华,16周,2小时每周,视频 富文本 讨论,,1124,http://www.icourse163.org/course/NJNU-1002058038
797,南京师范大学,形势与政策,13周,1,视频 文档 随堂测验 富文本 讨论,法学,10297,http://www.icourse163.org/course/NJNU-1001753089
798,南京师范大学,微生物学模块化实验,13周,3学时/周,视频 文档 随堂测验 讨论,,588,http://www.icourse163.org/course/NJNU-1001754021
799,南京师范大学,中国古代文学,待定周,待定,视频 富文本 讨论,,3594,http://www.icourse163.org/course/NJNU-1001754077
800,南京师范大学,英语口译,待定周,待定,视频 文档 随堂测验 富文本 讨论,,1893,http://www.icourse163.org/course/NJNU-1001755113
801,南京师范大学,地图学,待定周,待定,视频 文档 随堂测验,,1003,http://www.icourse163.org/course/NJNU-1001753075
802,南京师范大学,民事诉讼法,11周,3小时每周,视频 文档 随堂测验 富文本 讨论,,837,http://www.icourse163.org/course/NJNU-1001754046
803,南京师范大学,学前儿童健康教育,15周,2-4小时每周,视频 文档 随堂测验 富文本 讨论,,908,http://www.icourse163.org/course/NJNU-1001755036
804,江苏大学,临床基础检验技术,16周,2-4小时/周,视频 文档 随堂测验 讨论,,1418,http://www.icourse163.org/course/UJS-1001754150
805,江苏大学,创业计划,15周,3-5小时每周,视频 文档 随堂测验 讨论,经济管理,9542,http://www.icourse163.org/course/UJS-1002011030
806,江苏大学,汽车构造,待定周,待定,视频 文档 随堂测验 富文本 讨论,,2948,http://www.icourse163.org/course/UJS-1001755301
807,江苏大学,金属材料学,9周,5,视频 文档 随堂测验 讨论,,617,http://www.icourse163.org/course/UJS-1001752262
808,江苏大学,材料科学研究方法,8周,3,视频 文档 随堂测验 讨论,,240,http://www.icourse163.org/course/UJS-1001753299
809,江苏大学,工程热力学,14周,4-6小时每周,视频 文档 随堂测验 讨论,,2657,http://www.icourse163.org/course/UJS-1001754252
810,江苏大学,临床微生物学检验技术,待定周,待定,视频 文档 富文本 讨论,,446,http://www.icourse163.org/course/UJS-1001752250
811,江苏大学,创业管理,10周,1-2小时每周,视频 随堂测验 讨论,,1861,http://www.icourse163.org/course/UJS-1001754216
812,江苏大学,决策模拟,8周,2-4小时每周,视频 文档 讨论,,555,http://www.icourse163.org/course/UJS-1001753205
813,江苏大学,机械制图,13周,4-6小时每周,视频 文档 随堂测验 富文本 讨论,,6536,http://www.icourse163.org/course/UJS-1001755183
814,浙江理工大学,创业基础,待定周,待定,视频 文档 随堂测验 富文本 讨论,经济管理/教育教学,1138,http://www.icourse163.org/course/ZSTU-1002288006
815,杭州师范大学,印象英美——穿越时空之旅,16周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,外语,14657,http://www.icourse163.org/course/HZNU-1001957005
816,宁波大学,音乐与健康,8周,2-4小时每周,视频 讨论,艺术设计,7135,http://www.icourse163.org/course/NBU-1002336007
817,宁波大学,人体骨与关节解剖学,9周,3,视频 文档 随堂测验 讨论,生命科学,8471,http://www.icourse163.org/course/NBU-1002083019
818,浙江工商大学,外国文学史（二）,16周,2小时每周,视频 富文本 讨论,文学历史,6901,http://www.icourse163.org/course/HZIC-1001722003
819,浙江工商大学,外国文学史（一）,16周,2小时每周,视频 富文本 讨论,文学历史,15130,http://www.icourse163.org/course/HZIC-1001701011
820,福州大学,大学生心理健康教育,12周,2-3小时每周,视频 随堂测验,,1693,http://www.icourse163.org/course/FZU-1002329032
821,福州大学,海绵城市建设理念与工程应用,6周,1~3小时每周,视频 文档 随堂测验 讨论,工学,1422,http://www.icourse163.org/course/FZU-1002330001
822,福州大学,食品化学,8周,3-4小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,4867,http://www.icourse163.org/course/FZU-1002271005
823,福州大学,药物化学,12周,3-5小时每周,视频 随堂测验,,446,http://www.icourse163.org/course/FZU-1002253017
824,福州大学,概率论与数理统计,12周,3小时每周,视频 文档 随堂测验 富文本 讨论,,566,http://www.icourse163.org/course/FZU-1002249018
825,福州大学,一元函数微积分,16周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,2798,http://www.icourse163.org/course/FZU-1001930015
826,福州大学,新型陶瓷材料与商业应用,12周,3,视频 文档 随堂测验 讨论,工学,4327,http://www.icourse163.org/course/FZU-1002083012
827,福州大学,理论力学,17周,4小时每周,视频 文档 富文本 讨论,工学,2005,http://www.icourse163.org/course/FZU-1001758012
828,福州大学,陶瓷工艺学,17周,3小时每周,视频 文档 随堂测验 讨论,工学,21887,http://www.icourse163.org/course/FZU-458001
829,福州大学,结构力学,,待定,视频 文档 随堂测验 讨论,,610,http://www.icourse163.org/course/FZU-1001929012
830,福州大学,品牌管理,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,7244,http://www.icourse163.org/course/FZU-1001931010
831,福州大学,分析化学,14周,4小时每周,视频 随堂测验,,604,http://www.icourse163.org/course/FZU-1001933010
832,福州大学,会计学原理,12周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,17423,http://www.icourse163.org/course/FZU-1001931009
833,福州大学,固体物理学,14周,4,视频,,1972,http://www.icourse163.org/course/FZU-1001932018
834,福州大学,创业管理,13周,1-2小时每周,视频,,536,http://www.icourse163.org/course/FZU-1001932017
835,福州大学,MATLAB及机电系统仿真,9周,3-5小时每周,视频 随堂测验 讨论,,6156,http://www.icourse163.org/course/FZU-1001932016
836,福州大学,画法几何,待定周,待定,视频 随堂测验 讨论,,3029,http://www.icourse163.org/course/FZU-1001934010
837,福州大学,孙子兵法鉴赏,12周,3-5课时,视频 随堂测验 富文本 讨论,哲学,18369,http://www.icourse163.org/course/FZU-1001776003
838,福州大学,市场营销学,14周,2-3小时每周,视频 随堂测验 讨论,经济管理,14654,http://www.icourse163.org/course/FZU-1001764001
839,福州大学,财务报表编制,10周,3-5小时每周,视频 文档 随堂测验 富文本,经济管理,13858,http://www.icourse163.org/course/FZU-1001759007
840,福州大学,地下结构数值计算方法,12周,2-3小时每周,视频 文档 随堂测验 讨论,工学,2080,http://www.icourse163.org/course/FZU-1001744013
841,福州大学,大学生职业发展与就业指导,10周,2-3小时每周,视频 文档 随堂测验,教育教学,3580,http://www.icourse163.org/course/FZU-1001743004
842,福州大学,电器理论基础,16周,3-5小时每周,视频 文档 随堂测验 讨论,工学,3217,http://www.icourse163.org/course/FZU-1001595001
843,福州大学,海洋与人类文明的生产,8周,2.5小时每周,视频,文学历史/理学,5565,http://www.icourse163.org/course/FZU-1001590003
844,福建农林大学,寄生虫与公共卫生,,待定,视频 文档 随堂测验 富文本 讨论,,25,http://www.icourse163.org/course/FAFU-1002426002
845,福建农林大学,化学反应工程,10周,3-5 小时,视频 文档 随堂测验,,402,http://www.icourse163.org/course/FAFU-1002223025
846,福建农林大学,高等仪器分析,4周,2.5 小时每周,视频 文档 随堂测验 富文本 讨论,,400,http://www.icourse163.org/course/FAFU-1002225019
847,福建农林大学,化工原理,10周,3小时每周,视频 文档 随堂测验 富文本 讨论,,469,http://www.icourse163.org/course/FAFU-1002223024
848,福建农林大学,奇妙的昆虫世界,9周,2-4,视频 文档 随堂测验,,494,http://www.icourse163.org/course/FAFU-1002224013
849,福建农林大学,生物大数据,10周,3小时第周,视频,工学/生命科学,5918,http://www.icourse163.org/course/FAFU-1001766004
850,福建农林大学,中国古典家具,14周,1-1.5小时每周,视频 文档 随堂测验 富文本 讨论,艺术设计,9625,http://www.icourse163.org/course/FAFU-1001864001
851,福建农林大学,生态文明——撑起美丽中国梦,5周,3小时,视频 随堂测验 富文本 讨论,生命科学,2593,http://www.icourse163.org/course/FAFU-1001812006
852,福建农林大学,户外绳结及应用,10周,3小时每周,视频 文档 随堂测验 富文本 讨论,,166,http://www.icourse163.org/course/FAFU-1002126004
853,福建农林大学,救护与救援,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,,255,http://www.icourse163.org/course/FAFU-1002126003
854,福建农林大学,昆虫 · 意象 · 哲学,待定周,待定,视频 文档 随堂测验 讨论,,1287,http://www.icourse163.org/course/FAFU-1002030025
855,福建农林大学,大学信息技术基础,17周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,工学,1907,http://www.icourse163.org/course/FAFU-1002081025
856,福建农林大学,邮票上的昆虫学,17周,3,视频 文档 随堂测验,,125,http://www.icourse163.org/course/FAFU-1002082001
857,福建农林大学,茶韵茶魂—安溪铁观音,5周,20-40min/3天,视频 文档 随堂测验,,870,http://www.icourse163.org/course/FAFU-1002081001
858,福建农林大学,毛泽东思想和中国特色社会主义 理论体系概论,10周,4-5小时／周,视频 文档 随堂测验 讨论,,2117,http://www.icourse163.org/course/FAFU-1001771002
859,福建农林大学,现代仪器分析,12周,3小时每周,视频,,2319,http://www.icourse163.org/course/FAFU-1002038001
860,福建农林大学,农业植物病理学,待定周,待定,视频,,852,http://www.icourse163.org/course/FAFU-1002044009
861,福建农林大学,军事课（军事理论与军训理论知识）,14周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,,1369,http://www.icourse163.org/course/FAFU-1002048008
862,福建农林大学,劳动经济学,12周,1-2小时每周,视频 文档 随堂测验 讨论,,1028,http://www.icourse163.org/course/FAFU-1002047006
863,福建农林大学,实验化学1,14周,3-5小时每周,视频 文档 随堂测验 讨论,,1615,http://www.icourse163.org/course/FAFU-1002044008
864,福建农林大学,外经贸英语函电,8周,4小时/周,视频 文档 随堂测验 讨论,,1273,http://www.icourse163.org/course/FAFU-1002042002
865,福建农林大学,家畜寄生虫病学,11周,3~5小时每周,视频 文档 随堂测验 富文本 讨论,,346,http://www.icourse163.org/course/FAFU-1002037002
866,福建农林大学,食品工艺学,12周,3-5,视频 文档 随堂测验 富文本 讨论,,901,http://www.icourse163.org/course/FAFU-1002040002
867,福建农林大学,农村社会保障,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,,398,http://www.icourse163.org/course/FAFU-1002042001
868,福建农林大学,生态学,10周,3,视频 文档 随堂测验 富文本 讨论,,817,http://www.icourse163.org/course/FAFU-1002041002
869,福建农林大学,工程索道,8周,3小时每周,视频 文档 随堂测验 富文本 讨论,,145,http://www.icourse163.org/course/FAFU-1002041001
870,福建农林大学,创新思维与战略管理,待定周,待定,视频 文档 随堂测验 讨论,,242,http://www.icourse163.org/course/FAFU-1002039002
871,福建农林大学,机械设计基础,13周,4-6小时每周,视频 文档 随堂测验 富文本 讨论,,1284,http://www.icourse163.org/course/FAFU-1002039001
872,福建农林大学,家具行业创新创业,8周,1-2小时/周,视频 文档 随堂测验 讨论,,612,http://www.icourse163.org/course/FAFU-1002027019
873,福建农林大学,农产品贸易,10周,2-3小时每周,视频 文档 随堂测验 讨论,,374,http://www.icourse163.org/course/FAFU-1002029024
874,福建农林大学,营养与健康讲座,13周,3,视频 文档 随堂测验 讨论,,1152,http://www.icourse163.org/course/FAFU-1002029023
875,福建农林大学,食品加工原理（双语课）,待定周,待定,视频 随堂测验 讨论,,741,http://www.icourse163.org/course/FAFU-1002029022
876,福建农林大学,中国古典家具,8周,1-1.5小时每周,视频 文档 随堂测验 讨论,,999,http://www.icourse163.org/course/FAFU-1001767003
877,福建农林大学,马克思主义基本原理概论,10周,4小时,视频 文档 随堂测验 富文本 讨论,,1634,http://www.icourse163.org/course/FAFU-1001767002
878,福建农林大学,名人与近代中国,8周,2学时/周,视频 随堂测验,,3200,http://www.icourse163.org/course/FAFU-1001766006
879,福建农林大学,书法的力与美,6周,1-3小时每周,视频,,1824,http://www.icourse163.org/course/FAFU-1001765007
880,南昌大学,探秘身边的材料--材料与社会,待定周,待定,视频 随堂测验,工学,1549,http://www.icourse163.org/course/NCU-1002081018
